dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0350	0.0400	all	988	988	1.000000	988	1.000000	95.52	95.83	96.17
0.0350	0.0400	congeneric	644	644	1.000000	644	1.000000	95.43	95.75	96.09
0.0350	0.0400	inter_genus	57	57	1.000000	57	1.000000	96.27	96.73	96.92
0.0350	0.0400	same_species	284	284	1.000000	284	1.000000	95.69	95.94	96.18
0.0350	0.0400	same_strain	3	3	1.000000	3	1.000000	95.55	95.96	96.08
0.0400	0.0450	all	1366	1366	1.000000	1366	1.000000	94.86	95.07	95.34
0.0400	0.0450	congeneric	958	958	1.000000	958	1.000000	94.87	95.08	95.35
0.0400	0.0450	inter_genus	25	25	1.000000	25	1.000000	94.69	95.00	95.22
0.0400	0.0450	same_species	381	381	1.000000	381	1.000000	94.85	95.02	95.30
0.0400	0.0450	same_strain	2	2	1.000000	2	1.000000	95.37	95.55	95.73
0.0450	0.0500	all	1756	1756	1.000000	1756	1.000000	94.37	94.63	94.87
0.0450	0.0500	congeneric	1537	1537	1.000000	1537	1.000000	94.33	94.62	94.84
0.0450	0.0500	inter_genus	17	17	1.000000	17	1.000000	94.54	94.78	94.97
0.0450	0.0500	same_species	202	202	1.000000	202	1.000000	94.64	94.77	94.97
0.0500	0.0550	all	2298	2298	1.000000	2298	1.000000	93.92	94.10	94.34
0.0500	0.0550	congeneric	2225	2225	1.000000	2225	1.000000	93.92	94.11	94.34
0.0500	0.0550	inter_genus	16	16	1.000000	16	1.000000	93.99	94.08	94.37
0.0500	0.0550	same_species	56	56	1.000000	56	1.000000	93.58	94.00	94.45
0.0500	0.0550	same_strain	1	1	1.000000	1	1.000000	93.65	93.65	93.65
0.0550	0.0600	all	2060	2060	1.000000	2060	1.000000	93.26	93.65	93.96
0.0550	0.0600	congeneric	1935	1935	1.000000	1935	1.000000	93.24	93.64	93.96
0.0550	0.0600	inter_genus	23	23	1.000000	23	1.000000	93.70	93.95	94.03
0.0550	0.0600	same_species	102	102	1.000000	102	1.000000	93.40	93.60	93.91
0.0600	0.0650	all	2098	2098	1.000000	2098	1.000000	92.67	93.08	93.32
0.0600	0.0650	congeneric	1944	1944	1.000000	1944	1.000000	92.66	93.04	93.32
0.0600	0.0650	inter_genus	38	38	1.000000	38	1.000000	93.09	93.23	93.53
0.0600	0.0650	same_species	116	116	1.000000	116	1.000000	93.12	93.22	93.30
0.0650	0.0700	all	2413	2413	1.000000	2413	1.000000	91.83	92.26	92.83
0.0650	0.0700	congeneric	2318	2318	1.000000	2318	1.000000	91.83	92.25	92.81
0.0650	0.0700	inter_genus	38	38	1.000000	38	1.000000	92.02	92.44	92.73
0.0650	0.0700	same_species	57	57	1.000000	57	1.000000	92.01	92.75	93.09
0.0700	0.0750	all	2852	2852	1.000000	2852	1.000000	91.52	91.74	92.00
0.0700	0.0750	congeneric	2684	2684	1.000000	2684	1.000000	91.52	91.74	92.01
0.0700	0.0750	inter_genus	78	78	1.000000	78	1.000000	91.36	91.60	91.94
0.0700	0.0750	same_species	90	90	1.000000	90	1.000000	91.59	91.72	91.84
0.0750	0.0800	all	2748	2748	1.000000	2746	0.999272	90.83	91.08	91.62
0.0750	0.0800	congeneric	2689	2689	1.000000	2687	0.999256	90.83	91.08	91.62
0.0750	0.0800	inter_genus	48	48	1.000000	48	1.000000	90.83	91.46	91.87
0.0750	0.0800	same_species	11	11	1.000000	11	1.000000	90.94	91.03	91.57
0.0800	0.0850	all	3511	3511	1.000000	3511	1.000000	90.12	90.63	90.99
0.0800	0.0850	congeneric	3432	3432	1.000000	3432	1.000000	90.12	90.63	90.99
0.0800	0.0850	inter_genus	73	73	1.000000	73	1.000000	90.10	90.58	91.06
0.0800	0.0850	same_species	4	4	1.000000	4	1.000000	90.77	90.78	91.50
0.0800	0.0850	same_strain	2	2	1.000000	2	1.000000	88.61	88.62	88.62
0.0850	0.0900	all	4194	4194	1.000000	4194	1.000000	89.65	90.03	90.54
0.0850	0.0900	congeneric	4109	4109	1.000000	4109	1.000000	89.65	90.02	90.53
0.0850	0.0900	inter_genus	82	82	1.000000	82	1.000000	89.89	90.22	90.64
0.0850	0.0900	same_species	2	2	1.000000	2	1.000000	89.73	90.16	90.58
0.0850	0.0900	same_strain	1	1	1.000000	1	1.000000	90.92	90.92	90.92
0.0900	0.0950	all	4582	4580	0.999564	4580	0.999564	89.06	89.60	90.02
0.0900	0.0950	congeneric	4460	4458	0.999552	4458	0.999552	89.07	89.60	90.02
0.0900	0.0950	inter_genus	114	114	1.000000	114	1.000000	88.83	89.50	89.99
0.0900	0.0950	same_species	8	8	1.000000	8	1.000000	89.02	89.55	89.84
0.0950	0.1000	all	4915	4915	1.000000	4915	1.000000	88.32	88.94	89.52
0.0950	0.1000	congeneric	4851	4851	1.000000	4851	1.000000	88.32	88.94	89.52
0.0950	0.1000	inter_genus	63	63	1.000000	63	1.000000	88.38	89.11	89.54
0.0950	0.1000	same_species	1	1	1.000000	1	1.000000	87.36	87.36	87.36
0.1000	0.1050	all	6488	6488	1.000000	6488	1.000000	87.66	88.29	88.90
0.1000	0.1050	congeneric	6361	6361	1.000000	6361	1.000000	87.66	88.29	88.90
0.1000	0.1050	inter_genus	114	114	1.000000	114	1.000000	87.71	88.22	89.01
0.1000	0.1050	same_species	12	12	1.000000	12	1.000000	86.94	87.43	88.52
0.1000	0.1050	same_strain	1	1	1.000000	1	1.000000	89.39	89.39	89.39
0.1050	0.1100	all	7442	7442	1.000000	7428	0.998119	87.05	87.73	88.38
0.1050	0.1100	congeneric	7341	7341	1.000000	7330	0.998502	87.05	87.73	88.37
0.1050	0.1100	inter_genus	83	83	1.000000	80	0.963855	87.21	87.69	88.63
0.1050	0.1100	same_species	18	18	1.000000	18	1.000000	87.35	87.98	88.53
0.1100	0.1150	all	9613	9613	1.000000	9555	0.993967	86.54	87.20	87.87
0.1100	0.1150	congeneric	9466	9466	1.000000	9414	0.994507	86.55	87.19	87.87
0.1100	0.1150	inter_genus	140	140	1.000000	134	0.957143	86.51	87.28	87.75
0.1100	0.1150	same_species	7	7	1.000000	7	1.000000	85.37	85.91	87.23
0.1150	0.1200	all	9248	9248	1.000000	9135	0.987781	85.96	86.62	87.33
0.1150	0.1200	congeneric	9112	9112	1.000000	9001	0.987818	85.97	86.63	87.34
0.1150	0.1200	inter_genus	136	136	1.000000	134	0.985294	85.65	86.40	87.20
0.1200	0.1250	all	9104	9104	1.000000	8805	0.967157	85.36	86.00	86.70
