taxid	names	taxids
1031564	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter insulaenigrae	2|29547|3031852|213849|72294|194|260714
1031594	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Comamonadaceae|Extensimonas|Extensimonas vulgaris	2|1224|28216|80840|80864|1434001|1031594
1031753	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter lanienae	2|29547|3031852|213849|72294|194|75658
1032070	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Arcobacteraceae|Aliarcobacter|Aliarcobacter cryaerophilus	2|29547|3031852|213849|2808963|2321111|28198
1032238	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Arcobacteraceae|Malaciobacter|Malaciobacter mytili	2|29547|3031852|213849|2808963|2321114|603050
1032239	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Arcobacteraceae|Aliarcobacter|Aliarcobacter skirrowii	2|29547|3031852|213849|2808963|2321111|28200
1032240	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Arcobacteraceae|Aliarcobacter|Aliarcobacter thereius	2|29547|3031852|213849|2808963|2321111|544718
1032241	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Arcobacteraceae|Aliarcobacter|Aliarcobacter trophiarum	2|29547|3031852|213849|2808963|2321111|708186
1032242	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter molothri	2|29547|3031852|213849|72294|194|1032242
1032243	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae|Campylobacter|Campylobacter californiensis	2|29547|3031852|213849|72294|194|1032243
1032476	Bacteria|Actinomycetota|Actinomycetes|Streptosporangiales|Streptosporangiaceae|Nonomuraea|Nonomuraea soli	2|201174|1760|85012|2004|83681|1032476
1032480	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Propionibacteriaceae|Microlunatus|Microlunatus phosphovorus	2|201174|1760|85009|31957|29404|29405
1032488	Bacteria|Pseudomonadota|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria shayeganii	2|1224|28216|206351|481|482|607712
1032623	Bacteria|Pseudomonadota|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Otariodibacter|Otariodibacter oris	2|1224|1236|135625|712|1249016|1032623
1032845	Bacteria|Pseudomonadota|Alphaproteobacteria|Rickettsiales|Rickettsiaceae|Rickettsia|Rickettsia conorii	2|1224|28211|766|775|780|781
1033730	Bacteria|Actinomycetota|Actinomycetes|Propionibacteriales|Nocardioidaceae|Aeromicrobium|Aeromicrobium massiliense	2|201174|1760|85009|85015|2040|1464554
1033731	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes timonensis	2|976|200643|171549|171550|239759|1465754
1033732	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes senegalensis	2|976|200643|171549|171550|239759|1288121
1033734	Bacteria|Bacillota|Bacilli|Caryophanales|Bacillaceae|Bacillus|Bacillus timonensis	2|1239|91061|1385|186817|1386|1033734
1033736	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae|Brevibacterium|Brevibacterium senegalense	2|201174|1760|85006|85019|1696|1033736
1033737	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium senegalense	2|1239|186801|186802|31979|1485|1465809
1033739	Bacteria|Bacillota|Bacilli|Caryophanales|Caryophanaceae|Kurthia|Kurthia massiliensis	2|1239|91061|1385|186818|1649|1033739
1033740	Bacteria|Bacillota|Bacilli|Caryophanales|Caryophanaceae|Kurthia|Kurthia senegalensis	2|1239|91061|1385|186818|1649|1033740
1033741	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylobacteriaceae|Microvirga|Microvirga massiliensis	2|1224|28211|356|119045|186650|1033741
1033743	Bacteria|Bacillota|Bacilli|Caryophanales|Paenibacillaceae|Paenibacillus|Paenibacillus senegalensis	2|1239|91061|1385|186822|44249|1465766
1033744	Bacteria|Bacillota|Tissierellia|Tissierellales|Peptoniphilaceae|Peptoniphilus|Peptoniphilus senegalensis	2|1239|1737404|1737405|1570339|162289|1465757
1033802	Bacteria|Pseudomonadota|Gammaproteobacteria|Salinisphaerales|Salinisphaeraceae|Salinisphaera|Salinisphaera shabanensis	2|1224|1236|742030|742031|180541|180542
1033806	Archaea|Methanobacteriota|Halobacteria|Halobacteriales|Haloarculaceae|Halorhabdus|Halorhabdus tiamatea	2157|28890|183963|2235|1963268|146825|430914
1033810	Bacteria|Mycoplasmatota|Mollicutes|Haloplasmatales|Haloplasmataceae|Haloplasma|Haloplasma contractile	2|544448|31969|471822|471823|471824|471825
1034345	Bacteria|Actinomycetota|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalimassilia|Senegalimassilia anaerobia	2|201174|84998|84999|84107|1473205|1473216
1034346	Bacteria|Bacillota|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Dielma|Dielma fastidiosa	2|1239|526524|526525|128827|1472649|1034346
1034347	Bacteria|Bacillota|Bacilli|Caryophanales|Bacillaceae|Robertmurraya|Robertmurraya massiliosenegalensis	2|1239|91061|1385|186817|2837507|1287657
1034471	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Morganellaceae|Xenorhabdus|Xenorhabdus ishibashii	2|1224|1236|91347|1903414|626|1034471
