accession	ncbi_name	revised_species
GCF_037911915.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911925.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911935.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911945.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911955.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911965.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037911975.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037911985.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037911995.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037912005.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037912015.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_037912025.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037912275.1	Fusobacterium animalis	Fusobacterium animalis
GCF_037951365.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037952305.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037953125.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037953465.1	Fusobacterium varium	Fusobacterium heteroulcerans
GCF_037953935.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037954595.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037954885.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037955165.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_037955445.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_037955985.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_037956035.1	Fusobacterium ulcerans	Fusobacterium heteroulcerans
GCF_037975335.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_040097185.1	Fusobacterium varium	Fusobacterium varium
GCF_040199715.1	Fusobacterium sp. SYSU M8D902	Fusobacterium sp. SYSU M8D902
GCF_041027385.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041027405.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041027465.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041027495.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_041027535.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041433815.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum
GCF_041520925.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041520955.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041521005.1	Fusobacterium animalis	Fusobacterium animalis
GCF_041537885.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_042851185.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_043420975.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_043421055.1	Fusobacterium animalis	Fusobacterium animalis
GCF_044987705.1	Fusobacterium sp. MFO224	Fusobacterium sp. MFO224
GCF_045159905.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159915.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159925.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_045159935.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159945.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159955.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159965.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_045159975.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_045159985.1	Fusobacterium animalis	Fusobacterium animalis
GCF_045159995.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_048313075.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_048313085.1	Fusobacterium animalis	Fusobacterium animalis
GCF_048313155.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_049380805.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049380825.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049380885.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049380895.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049380945.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049380985.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049381025.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_049381045.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_050219445.1	Fusobacterium sp. SB021	Fusobacterium sp. SB021 (Fusobacterium sphaericum)
GCF_050219895.1	Fusobacterium animalis	Fusobacterium animalis
GCF_050231725.1	Fusobacterium nucleatum	Fusobacterium sp. SB042
GCF_050232215.1	Fusobacterium polymorphum	Fusobacterium polymorphum
GCF_050232305.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_050232845.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_050233295.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_050233405.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_050233865.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_050233995.1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726	Fusobacterium nucleatum
GCF_050433865.1	Fusobacterium sp. PH5-29	Fusobacterium sp. PH5-29
GCF_050434145.1	Fusobacterium sp. PH5-44	Fusobacterium sp. PH5-29
GCF_050920715.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum
GCF_050920725.1	Fusobacterium polymorphum ATCC 10953	Fusobacterium polymorphum
GCF_900015295.1	Fusobacterium sp. (clos_1_1)	Fusobacterium hominis
GCF_900095705.1	Fusobacterium massiliense	Fusobacterium massiliense
GCF_900104395.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_900450765.1	Fusobacterium necrogenes	Fusobacterium necrogenes
GCF_900450795.1	Fusobacterium vincentii	Fusobacterium vincentii
GCF_900478315.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_900683735.1	Fusobacterium ulcerans ATCC 49185	Fusobacterium heteroulcerans
GCF_901873395.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum
GCF_901873415.1	Fusobacterium nucleatum	Fusobacterium vincentii
GCF_902373815.1	Fusobacterium ulcerans	Fusobacterium ulcerans
GCF_902373855.1	Fusobacterium nucleatum	Fusobacterium animalis
GCF_902373895.1	Fusobacterium gonidiaformans	Fusobacterium gonidiaformans
GCF_902373915.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum
GCF_902374215.1	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum
GCF_902375195.1	Fusobacterium nucleatum	Fusobacterium nucleatum
GCF_902376175.1	Fusobacterium massiliense	Fusobacterium massiliense
GCF_902381645.1	Fusobacterium nucleatum	Fusobacterium vincentii
GCF_902386295.1	Fusobacterium necrophorum	Fusobacterium necrophorum
GCF_902387585.1	Fusobacterium varium	Fusobacterium varium
GCF_902387645.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_903181465.1	Fusobacterium mortiferum	Fusobacterium mortiferum
GCF_964212675.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212685.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212695.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212705.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212715.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212725.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212735.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212745.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212755.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212765.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212775.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212785.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212795.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212805.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212815.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212825.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212835.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212845.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212855.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212865.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212875.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212885.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212895.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212905.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964212915.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964238755.1	Fusobacterium animalis 21_1A	Fusobacterium animalis
GCF_964238805.1	Fusobacterium varium	Fusobacterium sp. CC00717
GCF_964238915.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_964239035.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_964241265.1	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum
GCF_964241285.1	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum
GCF_964241755.1	Fusobacterium nucleatum	Fusobacterium watanabei
GCF_964250655.1	Fusobacterium mortiferum ATCC 9817	Fusobacterium mortiferum
GCF_964259905.1	Fusobacterium varium	Fusobacterium sp. CC00717
GCF_964277055.1	Fusobacterium necrophorum subsp. funduliforme	Fusobacterium necrophorum
GCF_964642115.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Fusobacterium nucleatum
GCF_965119615.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217465.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217475.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217485.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217495.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217505.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217515.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217525.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_965217535.1	Fusobacterium watanabei	Fusobacterium watanabei
GCF_000158295.2	Fusobacterium necrophorum D12	no applicable
GCF_041433775.1	Fusobacterium sp. 27098_8_59	no applicable
