dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.0900	0.1000	same_strain	4	4	1.000000	4	1.000000	99.86	99.87	99.87
0.1000	0.1100	all	12215	12215	1.000000	11765	0.963160	85.28	86.96	88.90
0.1000	0.1100	congeneric	11468	11468	1.000000	11023	0.961196	85.59	87.09	89.00
0.1000	0.1100	inter_genus	712	712	1.000000	707	0.992978	84.12	84.65	85.21
0.1000	0.1100	same_species	35	35	1.000000	35	1.000000	84.70	84.82	94.97
0.1100	0.1200	all	14473	14437	0.997513	13170	0.909970	84.47	85.99	87.66
0.1100	0.1200	congeneric	13617	13581	0.997356	12452	0.914445	84.64	86.09	87.79
0.1100	0.1200	inter_genus	843	843	1.000000	705	0.836299	83.30	84.15	84.86
0.1100	0.1200	same_species	9	9	1.000000	9	1.000000	84.84	98.78	99.88
0.1100	0.1200	same_strain	4	4	1.000000	4	1.000000	99.88	99.88	99.89
0.1200	0.1300	all	17167	17030	0.992020	12863	0.749286	83.36	84.98	86.79
0.1200	0.1300	congeneric	14981	14849	0.991189	12278	0.819571	83.90	85.34	87.11
0.1200	0.1300	inter_genus	2180	2175	0.997706	579	0.265596	82.40	82.81	83.28
0.1200	0.1300	same_species	6	6	1.000000	6	1.000000	96.95	97.11	97.19
0.1300	0.1400	all	18242	18038	0.988817	11424	0.626247	82.79	84.15	85.73
