depth	rep	genomes	intra_pairs	low_edge	high_edge	gap
7	43	124	286	93.3846	93.9575	0.5729
7	44	124	286	93.3846	93.9573	0.5727
7	45	124	286	93.3846	94.6135	1.2289
7	46	124	286	93.3846	94.5015	1.1169
7	47	124	286	93.3846	93.9573	0.5727
7	48	124	286	93.3846	94.3457	0.9611
7	49	124	286	93.3846	93.9941	0.6095
10	0	160	574	93.3846	93.9573	0.5727
10	1	160	574	93.3846	93.9482	0.5636
10	2	160	574	93.3846	94.3457	0.9611
10	3	160	574	93.3846	94.3457	0.9611
10	4	160	574	93.3846	93.9941	0.6095
10	5	160	574	93.3846	94.4970	1.1124
10	6	160	574	93.3846	93.9575	0.5729
10	7	160	574	93.3846	93.9941	0.6095
10	8	160	574	93.3846	94.0070	0.6224
10	9	160	574	93.3846	94.0070	0.6224
10	10	160	574	93.3846	93.9575	0.5729
10	11	160	574	93.3846	93.9575	0.5729
10	12	160	574	93.3846	94.3457	0.9611
10	13	160	574	93.3846	93.9482	0.5636
10	14	160	574	93.3846	94.3457	0.9611
10	15	160	574	93.3846	94.4451	1.0605
10	16	160	574	93.3846	94.0070	0.6224
10	17	160	574	93.3846	93.9482	0.5636
10	18	160	574	93.3846	94.0678	0.6832
10	19	160	574	93.3846	93.9482	0.5636
10	20	160	574	93.3846	94.0634	0.6788
10	21	160	574	93.3846	94.0855	0.7009
10	22	160	574	93.3846	93.9482	0.5636
10	23	160	574	93.3846	94.0870	0.7024
10	24	160	574	93.3846	93.9941	0.6095
10	25	160	574	93.3846	93.9573	0.5727
10	26	160	574	93.3846	93.9575	0.5729
10	27	160	574	93.3846	93.9575	0.5729
10	28	160	574	93.3846	93.9482	0.5636
10	29	160	574	93.3846	94.3457	0.9611
10	30	160	574	93.3846	94.0855	0.7009
10	31	160	574	93.3846	93.9573	0.5727
10	32	160	574	93.3846	94.0634	0.6788
10	33	160	574	93.3846	93.9941	0.6095
10	34	160	574	93.3846	93.9482	0.5636
10	35	160	574	93.3846	94.3858	1.0012
10	36	160	574	93.3846	93.9482	0.5636
10	37	160	574	93.3846	94.3457	0.9611
10	38	160	574	93.3846	93.9573	0.5727
