dist_lo	dist_hi	class	mash_pairs	with_ani	coverage	with_ani_af15	coverage_af15	ani_q1	ani_median	ani_q3
0.1750	0.1800	congeneric	92188	58095	0.630180	8	0.000087	81.70	82.00	82.35
0.1750	0.1800	inter_genus	21015	14383	0.684416	0	0.000000	81.45	81.78	82.10
0.1750	0.1800	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.1800	0.1850	all	140905	57207	0.405997	0	0.000000	81.45	81.78	82.13
0.1800	0.1850	congeneric	110848	40919	0.369145	0	0.000000	81.50	81.84	82.18
0.1800	0.1850	inter_genus	30057	16288	0.541904	0	0.000000	81.35	81.65	81.98
0.1850	0.1900	all	143953	36970	0.256820	0	0.000000	81.27	81.61	81.98
0.1850	0.1900	congeneric	108450	23971	0.221033	0	0.000000	81.28	81.65	82.01
0.1850	0.1900	inter_genus	35500	12999	0.366169	0	0.000000	81.23	81.56	81.91
0.1850	0.1900	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.1900	0.1950	all	162422	25202	0.155164	0	0.000000	81.17	81.51	81.88
0.1900	0.1950	congeneric	115833	17314	0.149474	0	0.000000	81.19	81.53	81.89
0.1900	0.1950	inter_genus	46589	7888	0.169310	0	0.000000	81.12	81.46	81.85
0.1950	0.2000	all	139264	10623	0.076280	0	0.000000	81.12	81.44	81.79
0.1950	0.2000	congeneric	87698	8200	0.093503	0	0.000000	81.17	81.48	81.81
0.1950	0.2000	inter_genus	51564	2423	0.046990	0	0.000000	80.99	81.29	81.67
0.1950	0.2000	same_species	2	0	0.000000	0	0.000000	nan	nan	nan
0.2000	0.2050	all	158235	4731	0.029899	0	0.000000	81.15	81.46	81.80
0.2000	0.2050	congeneric	82397	4000	0.048545	0	0.000000	81.18	81.49	81.81
0.2000	0.2050	inter_genus	75835	731	0.009639	0	0.000000	80.98	81.29	81.71
0.2000	0.2050	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.2050	0.2100	all	137204	1006	0.007332	0	0.000000	81.16	81.55	81.87
0.2050	0.2100	congeneric	59191	913	0.015425	0	0.000000	81.21	81.58	81.87
0.2050	0.2100	inter_genus	78012	93	0.001192	0	0.000000	80.80	81.20	81.84
0.2050	0.2100	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2100	0.2150	all	158770	278	0.001751	0	0.000000	81.00	81.38	81.83
0.2100	0.2150	congeneric	55788	246	0.004410	0	0.000000	81.01	81.38	81.78
0.2100	0.2150	inter_genus	102982	32	0.000311	0	0.000000	80.97	81.59	82.15
0.2150	0.2200	all	186930	42	0.000225	0	0.000000	80.99	81.38	82.11
0.2150	0.2200	congeneric	50942	37	0.000726	0	0.000000	80.96	81.26	81.80
0.2150	0.2200	inter_genus	135985	5	0.000037	0	0.000000	82.05	82.11	83.60
0.2150	0.2200	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.2200	0.2250	all	190724	10	0.000052	0	0.000000	80.64	81.84	83.81
0.2200	0.2250	congeneric	41992	6	0.000143	0	0.000000	80.64	81.38	82.11
0.2200	0.2250	inter_genus	148732	4	0.000027	0	0.000000	83.81	85.67	89.57
0.2250	0.2300	all	192048	16	0.000083	0	0.000000	80.58	82.03	82.95
0.2250	0.2300	congeneric	34140	10	0.000293	0	0.000000	80.51	82.01	82.28
0.2250	0.2300	inter_genus	157908	6	0.000038	0	0.000000	80.58	84.08	91.38
0.2300	0.2350	all	255006	5	0.000020	0	0.000000	81.62	81.74	82.17
0.2300	0.2350	congeneric	35657	5	0.000140	0	0.000000	81.62	81.74	82.17
0.2300	0.2350	inter_genus	219346	0	0.000000	0	0.000000	nan	nan	nan
0.2300	0.2350	same_species	3	0	0.000000	0	0.000000	nan	nan	nan
0.2350	0.2400	all	367782	10	0.000027	0	0.000000	82.31	85.09	85.90
0.2350	0.2400	congeneric	38899	5	0.000129	0	0.000000	82.26	82.31	90.55
0.2350	0.2400	inter_genus	328883	5	0.000015	0	0.000000	84.56	85.61	85.61
0.2400	0.2450	all	400403	14	0.000035	0	0.000000	81.08	81.55	82.46
0.2400	0.2450	congeneric	31712	10	0.000315	0	0.000000	81.08	81.55	81.72
0.2400	0.2450	inter_genus	368691	4	0.000011	0	0.000000	81.21	81.83	86.06
0.2450	0.2500	all	570738	14	0.000025	0	0.000000	80.82	81.56	81.80
0.2450	0.2500	congeneric	35259	7	0.000199	0	0.000000	80.75	80.82	81.54
0.2450	0.2500	inter_genus	535479	7	0.000013	0	0.000000	81.73	81.80	83.20
0.2500	0.2550	all	826129	26	0.000031	0	0.000000	81.04	81.40	85.92
0.2500	0.2550	congeneric	37275	13	0.000349	0	0.000000	80.81	81.08	81.28
0.2500	0.2550	inter_genus	788854	13	0.000016	0	0.000000	81.41	85.92	85.92
0.2550	0.2600	all	746040	11	0.000015	0	0.000000	81.02	81.47	81.86
0.2550	0.2600	congeneric	25636	3	0.000117	0	0.000000	80.81	81.72	94.26
0.2550	0.2600	inter_genus	720404	8	0.000011	0	0.000000	81.02	81.27	81.86
0.2600	0.2650	all	956596	11	0.000011	0	0.000000	81.00	81.35	82.61
0.2600	0.2650	congeneric	26336	2	0.000076	0	0.000000	80.39	80.59	80.79
0.2600	0.2650	inter_genus	930260	9	0.000010	0	0.000000	81.04	81.74	82.61
0.2650	0.2700	all	1208995	12	0.000010	0	0.000000	81.36	81.72	84.84
0.2650	0.2700	congeneric	27176	0	0.000000	0	0.000000	nan	nan	nan
0.2650	0.2700	inter_genus	1181818	12	0.000010	0	0.000000	81.36	81.72	84.84
0.2650	0.2700	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2700	0.2750	all	1533482	9	0.000006	0	0.000000	82.28	83.53	83.62
0.2700	0.2750	congeneric	28253	0	0.000000	0	0.000000	nan	nan	nan
0.2700	0.2750	inter_genus	1505228	9	0.000006	0	0.000000	82.28	83.53	83.62
0.2700	0.2750	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2750	0.2800	all	1950522	18	0.000009	0	0.000000	81.51	83.09	83.14
0.2750	0.2800	congeneric	31254	0	0.000000	0	0.000000	nan	nan	nan
0.2750	0.2800	inter_genus	1919268	18	0.000009	0	0.000000	81.51	83.09	83.14
0.2800	0.2850	all	1185777	4	0.000003	0	0.000000	81.31	81.39	82.10
0.2800	0.2850	congeneric	16257	0	0.000000	0	0.000000	nan	nan	nan
0.2800	0.2850	inter_genus	1169519	4	0.000003	0	0.000000	81.31	81.39	82.10
0.2800	0.2850	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
0.2850	0.2900	all	1367339	6	0.000004	0	0.000000	83.57	83.57	85.45
0.2850	0.2900	congeneric	16969	0	0.000000	0	0.000000	nan	nan	nan
0.2850	0.2900	inter_genus	1350370	6	0.000004	0	0.000000	83.57	83.57	85.45
0.2900	0.2950	all	1606128	3	0.000002	0	0.000000	83.22	83.22	83.22
0.2900	0.2950	congeneric	17155	0	0.000000	0	0.000000	nan	nan	nan
0.2900	0.2950	inter_genus	1588973	3	0.000002	0	0.000000	83.22	83.22	83.22
0.2950	0.3000	all	1920111	0	0.000000	0	0.000000	nan	nan	nan
0.2950	0.3000	congeneric	17143	0	0.000000	0	0.000000	nan	nan	nan
0.2950	0.3000	inter_genus	1902968	0	0.000000	0	0.000000	nan	nan	nan
0.3000	0.3050	all	2345694	0	0.000000	0	0.000000	nan	nan	nan
0.3000	0.3050	congeneric	18061	0	0.000000	0	0.000000	nan	nan	nan
0.3000	0.3050	inter_genus	2327632	0	0.000000	0	0.000000	nan	nan	nan
0.3000	0.3050	same_species	1	0	0.000000	0	0.000000	nan	nan	nan
